title,slug,oldCategory,newSection,newFormat,reason,state
"Humble Ourselves or Be Humbled","humble-ourselves-or-be-humbled",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"How the Honor Code, Not Pride Month, Helped This Gay BYU Alum Thrive ","how-the-honor-code-not-pride-month-helped-this-gay-byu-alum-thrive",opinion,news,opinion,"opinion + campus-ish",PUBLISHED
"I'm a Woman. Here's Why the Kai Schwemmer Controversy Doesn't Bother Me","i-m-a-woman-here-s-why-the-kai-schwemmer-story-doesn-t-bother-me",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Adoption and Surrogacy: A False Comparison","adoption-and-surrogacy-a-false-comparison",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Charlie Bird Wants a Child, But At What Cost?","charlie-bird-surrogacy-why-children-need-a-mother",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"3 Things Utah CD-2 Voters Should Know About Blake Moore","3-things-utah-cd-2-voters-should-know-about-blake-moore",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"The Bricks & Minifigs Scandal: Another Case of Anti-LDS Hysteria","the-bricks-minifigs-scandal-another-case-of-anti-lds-hysteria",opinion,faith,opinion,"opinion + faith keywords",PUBLISHED
"Dispelling Darkness in a Blind Age","dispelling-darkness-in-a-blind-age",opinion,print-edition,opinion,"has printEditionId",PUBLISHED
"We Can't Gatekeep Conservatism: A Response to ΓÇ£The Closing of the Conservative MindΓÇ¥","we-cant-gatekeep-conservatism-a-response-to-the-closing-of-the-conservative-mind",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Fruitful Disagreement: A Showcase of BYUΓÇÖs Flirtations With Leftist Ideals","fruitful-disagreement-a-showcase-of-byus-flirtations-with-leftist-ideals",opinion,news,opinion,"opinion + campus-ish",PUBLISHED
"BYU College Republican Internal Debate: Fellow Travelers, Dupes, and Liberals","byu-college-republican-internal-debate-fellow-travelers-dupes-and-liberals",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Digital Parenting: How to Prevent and Overcome the Negative Influences of Technology","digital-parenting-how-to-prevent-and-overcome-the-negative-influences-of-technology",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"RFK Jr.'s Unique Position","rfk-jr-s-unique-position",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
"Young Conservatives: Now is Our Time","young-conservatives-now-is-our-time-the-coug-chron",opinion,politics,opinion,"opinion + politics/general",PUBLISHED
